262;What is the main cause of HIV-1 infection in children?;Qual é a principal causa da infecção pelo HIV-1 em crianças?;Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. ;A transmissão de mãe para filho (MTCT) é a principal causa de infecção pelo HIV-1 em crianças em todo o mundo.
276;What plays the crucial role in the Mother to Child Transmission of HIV-1 and what increases the risk;O que desempenha o papel crucial na transmissão de mãe para filho do HIV-1 e o que aumenta o risco;DC-SIGNR plays a crucial role in MTCT of HIV-1 and that impaired placental DC-SIGNR expression increases risk of transmission.;O DC-SIGNR desempenha um papel crucial na MTCT do HIV-1 e essa expressão diminuída da DC-SIGNR da placenta aumenta o risco de transmissão.
278;How many children were infected by HIV-1 in 2008-2009, worldwide?;Quantas crianças foram infectadas pelo HIV-1 em 2008-2009, em todo o mundo?;more than 400,000 children were infected worldwide, mostly through MTCT and 90% of them lived in sub-Saharan Africa. ;mais de 400.000 crianças foram infectadas em todo o mundo, principalmente através da MTCT e 90% delas viviam na África Subsaariana.
316;What is the role of C-C Motif Chemokine Ligand 3 Like 1 (CCL3L1) in mother to child transmission of HIV-1?;Qual é o papel do ligante 3 da quimioterapia C-C Motif 3 Like 1 (CCL3L1) na transmissão de mãe para filho do HIV-1?;High copy numbers of CCL3L1, a potent HIV-1 suppressive ligand for CCR5, are associated with higher chemokine production and lower risk of MTCT of HIV-1 among South African infants;Um número elevado de cópias de CCL3L1, um potente ligante supressor de HIV-1 para CCR5, está associado a maior produção de quimiocinas e menor risco de MTCT de HIV-1 em crianças sul-africanas
305;What is DC-GENR and where is  it expressed?;O que é o DC-GENR e onde é expresso?;Dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or liver/lymph node-specific ICAM-grabbing non-integrin (L-SIGN)) can interact with a plethora of pathogens including HIV-1 and is expressed in placental capillary endothelial cells;A não-integrina específica para captura de ICAM para células dendríticas não relacionada à integrina (DC-SIGNR, também conhecida como CD209L ou não-integrina específica para captura de ICAM para fígado / linfonodo (L-SIGN)) pode interagir com uma infinidade de patógenos, incluindo HIV- 1 e é expresso em células endoteliais capilares da placenta
306;How does the presence of DC-SIGNR affect the MTCT of HIV-1?;Como a presença do DC-SIGNR afeta a MTCT do HIV-1?;the presence of DC-SIGNR at the placental endothelial cell surface may protect infants from HIV-1 infection by capturing virus and promoting its degradation/presentation. ;a presença de DC-SIGNR na superfície celular endotelial da placenta pode proteger os bebês da infecção pelo HIV-1 capturando vírus e promovendo sua degradação / apresentação.
307;Why do low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1?;Por que baixos níveis de DC-SIGNR melhoram a transmissão de mãe para filho do HIV-1?;in placenta containing low levels of DC-SIGNR, HIV-1 would preferentially binds CCR5 on endothelial cells resulting in a loss of placental barrier integrity and enhanced passage of maternal HIV-1-infected cells in foetal circulation leading to MTCT of HIV-1;Na placenta contendo baixos níveis de DC-SIGNR, o HIV-1 liga preferencialmente o CCR5 nas células endoteliais, resultando em uma perda da integridade da barreira placentária e na passagem aprimorada das células maternas infectadas pelo HIV-1 na circulação fetal, levando à MTCT do HIV-1.
277;What is the percentage of Mother to Child Transmission of HIV-1, when there is no intervention?;Qual é a porcentagem de transmissão de mãe para filho do HIV-1, quando não há intervenção?;Without specific interventions, the rate of HIV-1 mother-tochild transmission (MTCT) is approximately 15-45%;Sem intervenções específicas, a taxa de transmissão mãe-filho (MTCT) do HIV-1 é de aproximadamente 15-45%
312;Does C-C chemokine receptor type 5 (CCR5) affect the transmission of HIV-1?;O receptor de quimiocina C-C tipo 5 (CCR5) afeta a transmissão do HIV-1?;Genetic variants in CCR5 have been shown to influence vertical transmission of HIV-1. CCR5 promoter variants resulting in higher expression of the receptor were associated with increased risk of MTCT of HIV-1 among sub-Saharan Africans;Demonstrou-se que variantes genéticas no CCR5 influenciam a transmissão vertical do HIV-1. As variantes do promotor CCR5, resultando em maior expressão do receptor, foram associadas ao aumento do risco de MTCT do HIV-1 entre os africanos subsaarianos
318;How does Mannanose Binding Lectin (MBL) affect elimination of HIV-1 pathogen?;Como a Mannanose Binding Lectin (MBL) afeta a eliminação do patógeno HIV-1?;Mannose-binding lectin (MBL) is an innate immune receptor synthesised in the liver and secreted in the bloodstream in response to inflammation signal. MBL promotes pathogen elimination by opsonization and phagocytosis,;A lectina de ligação à manose (MBL) é um receptor imune inato, sintetizado no fígado e secretado na corrente sanguínea em resposta ao sinal de inflamação. O MBL promove a eliminação de patógenos por opsonização e fagocitose,
