Default Welcome Intent;beleza ?;Olá! Você nos contatou porque acha que pode estar com Covid? Quer saber mais sobre a doença? A gente pode te ajudar a ver e te orientar sobre o que fazer. Assim você não precisa sair de casa se não for necessário. Qual é o seu nome?
covid.breath - no;não sinto;Você sente que vai desmaiar?
covid.breath - yes;sinto;Certo #personal_info_context.name. Se você está sentindo falta de ar, precisa, sim, procurar um serviço de urgência. Você não pode perder tempo.
covid.faint - no;não sinto;Você tem febre há mais de 3 dias?
covid.faint - yes;sinto;Certo #personal_info_context.name. Se você está sentindo que vai desmaiar,  precisa, sim, procurar um serviço de urgência. Você não pode perder tempo.
covid.fever - yes;estou com febre;Certo #personal_info_context.name. Se você está com febre há mais de 3 dias,  precisa, sim, procurar um serviço de urgência.
covid.help;me mostre as opções do que você pode fazer?;"Ok. Não se preocupe que eu irei te ajudar. Para isso, Escolha uma das opções abaixo:

0. Diagnóstico do Coronavírus;
1. Informações Gerais;
2. Informações sobre a Transmissão do Vírus;
3. Sintomas da Doença;
4. Orientações para Pacientes com Suspeita da Doença;
5. Tratamento;
6. Cuidados em Casa;
7. Higiene das Mãos e Superfícies;
8. Comportamento e Hábito de Vida;
9. Uso de Máscara;
10. Gravidez e Coronavírus;
11. Animais Domésticos."
covid.help.0.diagnostic;0;[]
covid.help.1.general;Informações Gerais;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. O que são os coronavírus?
2. Por que recebem o nome de coronavírus?
3. O que é SARS-CoV-2?
4. O que é COVID-19?
5. O que é pandemia?
6. Voltar às opções anteriores"
covid.help.1.general.1;um;Os coronavírus representam uma família de vírus causadores de doenças em seres humanos. As infecções por coronavírus são transmitidas entre animais e de animais para os seres humanos.
covid.help.1.general.2;dois;O nome “coronavírus” se deve ao fato da forma do vírus se assemelhar a uma coroa que, em latim, chama-se corona.
covid.help.1.general.3;tres;SARS-CoV-2 é o nome dado ao coronavírus causador da pandemia atual.
covid.help.1.general.4;quatro;COVID-19 é o nome dado à doença pandêmica atual causada pelo novo coronavírus, que é chamado de SARS-CoV-2.
covid.help.1.general.5;cinco;Pandemia é o termo usado para descrever uma situação em que uma doença infecciosa ameaça muitas pessoas ao redor do mundo simultaneamente. Declarar uma pandemia significa dizer que os esforços para conter a expansão mundial do vírus falharam e que a disseminação está fora de controle. Novos vírus são mais prováveis de causarem pandemias porque não temos defesas naturais, medicamentos ou vacinas para nos proteger.
covid.help.1.general.6.previous;seis;[]
